instance,drone_capacity,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,8,2,5,380.66943879964435,"[[[[0, []], [5, [5, 2, 23, 26, 10, 11, 3, 4]], [2, []], [1, [1, 7]], [7, []], [3, []], [4, []], [10, []], [11, []], [25, [25, 28, 21]], [23, []], [26, []], [28, []], [30, [30]], [21, []]], [[0, [29, 16]], [8, [8, 18, 19, 14, 15]], [9, [9, 6, 27, 20, 24]], [13, [13, 12, 17, 22]], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, []], [29, []], [27, []], [24, []], [22, []], [20, []]]], [[[5, [23, 26, 11]]], [[5, [5, 10, 4]]], [[5, [2, 3]]], [[1, [1, 7]]], [[8, [19, 14]]], [[8, [8, 18, 15]]], [[9, [9, 6, 27, 20, 24]]], [[13, [13, 17]]], [[13, [12, 22]]], [[25, [25, 28, 21]]], [[30, [30]]]]]",397.4106697730026,"[[[[0, []], [2, [2, 1]], [1, []], [7, [7, 3, 4, 23]], [3, []], [4, []], [25, [25, 20, 21, 6, 24]], [23, []], [6, [29]], [29, []], [27, [27]], [21, []], [24, []], [20, []]], [[0, [13, 26]], [5, [5, 16]], [10, [10, 11]], [11, []], [8, [8, 14, 15, 17, 19]], [9, [9, 18, 12, 22]], [12, []], [14, []], [16, []], [15, []], [13, []], [17, []], [18, []], [19, []], [26, []], [28, [28]], [30, [30]], [22, []]]], [[[2, [2, 1]]], [[5, [5, 16]]], [[10, [10, 11]]], [[7, [7, 3, 4, 23]]], [[8, [8, 14]]], [[8, [15, 17, 19]]], [[9, [9, 18]]], [[9, [12, 22]]], [[28, [28]]], [[25, [25, 20, 21, 6, 24]]], [[6, [29]]], [[27, [27]], [30, [30]]]]]",551.629,OK
test_data\data_demand_random\30\C201_0.5.dat,8,3,1,386.298221281347,"[[[[0, []], [22, [22, 16, 19, 29]], [29, []], [6, [6, 18, 15]], [27, [27, 12, 14, 21]], [17, [17, 13]], [18, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [9, [9, 8]], [8, []], [21, []]], [[0, [1]], [4, [4, 3, 24]], [3, []], [7, [7, 2]], [1, []], [2, []], [5, [5, 26, 10, 23, 11]], [10, []], [11, []], [25, [25, 28]], [23, []], [26, []], [28, []], [30, [30, 20]], [24, []], [20, []]]], [[[22, [22, 19]]], [[22, [16, 29]]], [[4, [4, 3, 24]]], [[7, [7, 2]]], [[6, [6, 18, 15]]], [[27, [27, 12, 14, 21]]], [[5, [5, 26]]], [[5, [10, 23, 11]]], [[17, [17, 13]]], [[9, [9, 8]]], [[25, [25, 28]]], [[30, [30, 20]]]]]",,None,1016.192,OK
test_data\data_demand_random\30\C201_0.5.dat,8,3,2,377.0,"[[[[0, [23, 26]], [5, [5, 10]], [10, []], [8, [8, 21, 13]], [21, [6, 25, 17, 28, 27, 22]], [25, []], [13, []], [17, []], [23, []], [26, []], [28, []], [6, []], [27, []], [22, []]], [[0, [1]], [4, [4, 3, 24]], [3, []], [7, [7, 16, 2]], [1, []], [2, []], [11, [11, 18, 29, 20]], [9, [9, 12, 15]], [12, []], [14, [14, 19, 30]], [16, []], [15, []], [19, []], [18, []], [30, []], [29, []], [24, []], [20, []]]], [[[5, [5, 10]]], [[4, [4, 3, 24]]], [[7, [7, 16, 2]]], [[8, [8, 21, 13]]], [[21, [17, 28]]], [[21, [6, 25, 27, 22]]], [[11, [11, 29]]], [[11, [18, 20]]], [[9, [9, 12, 15]]], [[14, [14, 19]]], [[14, [30]]]]]",394.13274595042157,"[[[[0, []], [5, [5, 26, 13]], [2, [2, 11]], [10, [10, 16, 19, 23]], [11, []], [9, [9, 20]], [25, [25, 12, 15, 14]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [17, [17, 18, 28]], [18, []], [23, []], [26, []], [28, []], [20, []]], [[0, [1]], [1, []], [7, [7, 4, 3]], [4, []], [3, []], [8, [8, 21]], [21, [24, 22, 27]], [22, []], [30, [30, 6]], [27, []], [6, []], [29, [29]], [24, []]]], [[[5, [26, 13]]], [[5, [5]]], [[2, [2, 11]]], [[10, [10, 16, 19, 23]]], [[7, [7, 4, 3]]], [[9, [9, 20]]], [[25, [25, 12, 15, 14]]], [[8, [8, 21]], [17, [18]]], [[21, [24, 22, 27]]], [[17, [17, 28]]], [[30, [30, 6]]], [[29, [29]]]]]",1023.6,OK
test_data\data_demand_random\30\C201_0.5.dat,8,3,3,373.0,"[[[[0, []], [5, [5, 13, 10]], [8, [8, 11, 19, 25, 29]], [10, []], [11, []], [9, [9, 12, 17, 6]], [12, []], [14, [14, 16, 15, 18, 24]], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [29, []], [6, []], [24, []]], [[0, [1]], [2, [2, 23, 26]], [1, []], [7, [7, 4, 3]], [3, []], [4, []], [23, []], [26, []], [28, [28, 21, 20]], [30, [30]], [27, [27, 22]], [22, []], [21, []], [20, []]]], [[[2, [2, 23, 26]]], [[5, [13]]], [[5, [5, 10]]], [[7, [7, 4, 3]]], [[8, [19, 25, 29]]], [[8, [8, 11]]], [[9, [9, 12, 17, 6]]], [[14, [15, 18, 24]]], [[14, [14, 16]]], [[28, [28, 21, 20]]], [[30, [30]]], [[27, [27, 22]]]]]",413.77032961426903,"[[[[0, [26, 1]], [5, [5]], [2, [2]], [7, [7, 3, 4]], [3, []], [4, []], [1, []], [9, [9, 6, 29]], [26, []], [28, [28, 20]], [6, []], [29, []], [20, []]], [[0, []], [11, [11]], [10, [10, 16, 23]], [23, []], [18, [18, 19]], [17, [17, 14]], [14, []], [12, [12, 15, 21, 13]], [16, []], [15, []], [19, [30, 8, 27]], [13, []], [25, [25, 22, 24]], [30, []], [21, []], [8, []], [22, []], [24, []], [27, []]]], [[[5, [5]]], [[11, [11]], [2, [2]]], [[10, [10, 16, 23]]], [[7, [7, 3, 4]]], [[18, [18, 19]]], [[17, [17, 14]]], [[12, [12, 15, 21, 13]]], [[19, [30, 8, 27]]], [[9, [9, 6, 29]]], [[25, [25, 22, 24]]], [[28, [28, 20]]]]]",1553.284,OK
test_data\data_demand_random\30\C201_0.5.dat,8,3,4,374.6619037896906,"[[[[0, [1]], [1, []], [7, [7, 4, 3]], [4, []], [3, []], [2, [2, 29]], [9, [9, 24]], [21, [21, 30, 27, 6]], [30, []], [27, []], [6, []], [29, []], [24, []]], [[0, [13, 16]], [5, [5, 19, 26, 10, 11, 23]], [11, []], [10, []], [8, [8, 28, 20, 22]], [25, [25, 12, 15, 14, 17, 18]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [22, []], [20, []]]], [[[5, [11, 23]]], [[5, [19, 10]]], [[5, [5, 26]]], [[8, [28, 20]]], [[7, [7, 4, 3]]], [[8, [8, 22]]], [[25, [17, 18]]], [[25, [25, 12, 15, 14]]], [[2, [2, 29]]], [[9, [9, 24]]], [[21, [21, 30, 27, 6]]]]]",414.8779888505745,"[[[[0, []], [2, [2]], [10, [10, 13]], [13, []], [17, [17, 19, 23]], [19, []], [18, [18, 26]], [23, []], [26, []], [28, [28, 24, 20]], [6, [6, 27]], [24, []], [27, []], [20, []], [22, [22]]], [[0, [1]], [5, [5, 29, 16, 3]], [4, [4, 7, 11, 14]], [3, []], [7, []], [1, []], [11, []], [9, [9, 12, 15, 21, 8]], [12, []], [16, []], [14, []], [15, []], [25, [25, 30]], [29, []], [30, []], [21, []], [8, []]]], [[[5, [3]], [2, [2]]], [[5, [29]]], [[5, [5, 16]]], [[4, [14]]], [[4, [4, 7, 11]]], [[10, [10, 13]]], [[17, [17, 19, 23]]], [[9, [9, 12, 15, 21, 8]]], [[18, [18, 26]]], [[28, [28, 24, 20]]], [[25, [25, 30]]], [[6, [6, 27]]], [[22, [22]]]]]",1375.584,OK
test_data\data_demand_random\30\C201_0.5.dat,8,3,5,377.17273999499054,"[[[[0, [23]], [29, [29, 26]], [6, [6, 24, 22]], [30, [30, 27, 20, 21, 25, 28]], [28, []], [26, []], [23, []], [25, []], [27, []], [24, []], [22, []], [20, []], [21, []]], [[0, [1]], [5, [5, 19, 16, 4, 2]], [2, []], [7, [7, 14]], [4, []], [3, [3, 11]], [1, []], [12, [12, 9, 17, 15]], [14, []], [16, []], [15, []], [19, []], [18, [18, 10, 8, 13]], [17, []], [13, []], [9, []], [11, []], [10, []], [8, []]]], [[[5, [19, 4, 2]]], [[5, [5, 16]]], [[29, [29, 26]]], [[7, [7, 14]]], [[6, [6, 24, 22]]], [[3, [3, 11]]], [[30, [30, 27, 20, 21]]], [[30, [25, 28]]], [[12, [12, 9, 17, 15]]], [[18, [18, 10]]], [[18, [8, 13]]]]]",444.1049731745428,"[[[[0, [16]], [29, [29, 19, 23]], [24, [24]], [22, [22, 26]], [21, [21, 28, 10]], [28, [20, 12, 14, 18]], [26, []], [23, []], [18, []], [19, []], [16, []], [12, []], [14, []], [9, [9, 11]], [11, []], [10, []], [8, [8, 30]], [30, []], [20, []]], [[0, [1, 13, 2, 3]], [5, [5]], [2, []], [3, []], [4, [4, 7]], [7, []], [1, []], [13, []], [15, [15, 17, 27, 6]], [17, []], [25, [25]], [27, []], [6, []]]], [[[29, [29, 19, 23]]], [[24, [24]], [5, [5]]], [[22, [22, 26]]], [[21, [21, 28, 10]]], [[28, [18]]], [[4, [4, 7]]], [[28, [20, 12, 14]]], [[15, [15, 17, 27, 6]]], [[25, [25]]], [[9, [9, 11]]], [[8, [8, 30]]]]]",1386.351,OK
test_data\data_demand_random\30\C201_3.dat,4,1,1,805.0,"[[[[0, [19, 23, 16, 13, 1]], [2, [2]], [1, []], [11, [11]], [10, [10]], [19, []], [18, [18, 29]], [23, []], [26, [26]], [28, [28, 14]], [6, [6, 17, 15]], [29, []], [24, [24]], [13, []], [14, []], [12, [12]], [16, []], [15, []], [17, []], [25, [25]], [8, [8]], [20, [20]]], [[0, [7, 27, 3, 21, 5]], [5, []], [4, [30, 4]], [3, []], [7, []], [9, [9, 22]], [21, []], [30, []], [27, []], [22, []]]], [[[2, [2]]], [[11, [11]]], [[10, [10]]], [[18, [18, 29]]], [[26, [26]]], [[28, [28, 14]]], [[6, [17, 15]]], [[6, [6]]], [[24, [24]]], [[4, [30, 4]]], [[9, [9, 22]]], [[12, [12]]], [[25, [25]]], [[8, [8]]], [[20, [20]]]]]",,None,296.879,OK
test_data\data_demand_random\30\C201_3.dat,4,1,2,793.0,"[[[[0, [5, 7, 27, 9, 2]], [5, []], [2, []], [7, []], [9, []], [8, [8]], [21, [21, 24]], [27, []], [24, []]], [[0, [23, 3, 19, 16, 1]], [4, [4, 13, 11]], [3, []], [1, []], [11, []], [10, [10]], [23, []], [26, [26, 22, 14]], [28, [28, 18]], [6, [6, 17]], [29, [29]], [17, []], [18, []], [19, []], [15, [15, 30]], [16, []], [12, [12]], [14, []], [13, []], [25, [25]], [30, []], [22, []], [20, [20]]]], [[[4, [11]]], [[4, [4, 13]]], [[10, [10]]], [[26, [26]]], [[26, [22, 14]]], [[28, [28, 18]]], [[6, [6, 17]]], [[29, [29]]], [[15, [15, 30]]], [[12, [12]]], [[25, [25]]], [[8, [8]]], [[21, [21, 24]]], [[20, [20]]]]]",796.0,"[[[[0, [5, 7, 27, 9, 2]], [5, []], [2, []], [7, []], [9, []], [8, [8]], [21, [21]], [27, []]], [[0, [23, 3, 19, 16, 1]], [4, [4, 13, 11]], [3, []], [1, []], [11, []], [10, [10]], [23, []], [26, [26, 22, 14]], [28, [28, 18]], [6, [6, 17]], [29, [29]], [17, []], [18, []], [19, []], [15, [15, 30]], [16, []], [12, [12]], [14, []], [13, []], [25, [25]], [30, []], [24, [24]], [22, []], [20, [20]]]], [[[4, [11]]], [[4, [4, 13]]], [[10, [10]]], [[26, [26]]], [[26, [22, 14]]], [[28, [28, 18]]], [[6, [6, 17]]], [[29, [29]]], [[15, [15, 30]]], [[12, [12]]], [[25, [25]]], [[8, [8]]], [[21, [21]], [24, [24]]], [[20, [20]]]]]",366.32,OK
test_data\data_demand_random\30\C201_3.dat,4,1,3,800.0,"[[[[0, [27, 8, 7]], [8, []], [7, []], [25, [25, 30]], [30, []], [27, []]], [[0, [3, 2, 5, 23, 16, 1, 19]], [4, [4, 26, 13]], [3, []], [1, []], [2, []], [5, []], [11, [11]], [10, [10]], [22, [22, 14]], [24, [24]], [29, [29]], [6, [6, 15, 28, 21, 17]], [28, []], [26, []], [23, []], [18, [18]], [19, []], [12, [12, 9]], [14, []], [16, []], [15, []], [17, []], [13, []], [9, []], [21, []], [20, [20]]]], [[[4, [26]]], [[4, [4, 13]]], [[11, [11]]], [[10, [10]]], [[22, [22, 14]]], [[24, [24]]], [[29, [29]]], [[6, [28, 21, 17]]], [[6, [6, 15]]], [[18, [18]]], [[12, [12, 9]]], [[25, [25, 30]]], [[20, [20]]]]]",984.6619037896905,"[[[[0, [1, 3, 7, 27, 12, 14]], [2, [2, 13]], [1, []], [3, []], [4, [4]], [7, []], [9, [9, 16]], [12, []], [14, []], [16, []], [17, [17]], [13, []], [25, [25]], [27, []]], [[0, [11, 26, 23, 19, 15]], [8, [8]], [11, []], [5, [5]], [10, [10]], [28, [28, 29]], [6, [6, 30]], [22, [22]], [24, [24]], [29, []], [30, []], [26, []], [23, []], [18, [18, 21]], [19, []], [15, []], [21, []], [20, [20]]]], [[[8, [8]]], [[5, [5]]], [[2, [2, 13]]], [[10, [10]]], [[4, [4]]], [[28, [28, 29]]], [[6, [6, 30]]], [[22, [22]]], [[9, [9, 16]]], [[17, [17]], [24, [24]]], [[18, [18, 21]]], [[20, [20]]], [[25, [25]]]]]",332.914,OK
test_data\data_demand_random\30\C201_3.dat,4,1,4,797.0,"[[[[0, [16, 27, 18, 13, 19, 15, 17]], [8, [8]], [9, [9, 12, 25, 14, 30]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [30, []], [27, []]], [[0, [23, 26, 1, 7, 3]], [5, [5, 29, 2]], [2, []], [1, []], [7, []], [3, []], [4, [4]], [11, [11]], [10, [10]], [23, []], [26, []], [28, [28, 21]], [6, [6]], [29, []], [24, [24]], [22, [22]], [21, []], [20, [20]]]], [[[5, [29, 2]]], [[5, [5]]], [[4, [4]]], [[11, [11]]], [[10, [10]]], [[8, [8]]], [[9, [9, 12, 30]]], [[9, [25, 14]]], [[28, [28, 21]]], [[6, [6]]], [[24, [24]]], [[22, [22]]], [[20, [20]]]]]",,None,363.843,OK
test_data\data_demand_random\30\C201_3.dat,4,1,5,786.0,"[[[[0, [27, 2, 11, 7, 22, 9]], [20, [20]], [24, [24]], [27, []], [22, []], [21, [21]], [9, []], [11, []], [2, []], [7, []]], [[0, [19, 23, 1, 3]], [5, [5, 13]], [4, [4]], [3, []], [1, []], [10, [10, 26]], [23, []], [26, []], [28, [28, 29]], [6, [6, 17, 30, 18, 15]], [29, []], [30, []], [17, []], [18, []], [19, []], [15, []], [14, [14, 16]], [16, []], [12, [12]], [13, []], [25, [25]], [8, [8]]]], [[[20, [20]]], [[5, [5, 13]]], [[4, [4]]], [[10, [26]]], [[10, [10]]], [[28, [28, 29]]], [[6, [6, 30]]], [[6, [17, 18, 15]]], [[24, [24]]], [[14, [14, 16]]], [[21, [21]]], [[12, [12]]], [[25, [25]]], [[8, [8]]]]]",,None,388.449,OK
test_data\data_demand_random\30\C201_3.dat,4,2,1,800.0,"[[[[0, [7, 4, 3, 29, 27]], [7, []], [3, []], [4, []], [21, [21, 30]], [30, []], [29, []], [27, []]], [[0, [5, 19, 13, 23, 1]], [5, []], [2, [2]], [1, []], [11, [11]], [10, [10]], [13, []], [18, [18]], [23, []], [26, [26, 28]], [28, []], [6, [6]], [24, [24, 14]], [20, [20, 17, 22]], [22, []], [25, [25, 15]], [17, []], [19, []], [15, []], [16, [16]], [14, []], [12, [12, 9]], [9, []], [8, [8]]]], [[[2, [2]]], [[11, [11]]], [[10, [10]]], [[18, [18]]], [[26, [26]]], [[26, [28]]], [[6, [6]]], [[24, [24, 14]]], [[20, [20]]], [[20, [17, 22]]], [[21, [21, 30]]], [[25, [25, 15]]], [[16, [16]]], [[12, [12, 9]]], [[8, [8]]]]]",844.0,"[[[[0, [23, 26, 27]], [20, [20]], [21, [21]], [23, []], [26, []], [28, [28, 29]], [6, [6, 30]], [29, []], [30, []], [27, []], [24, [24]]], [[0, [3, 1, 7, 19, 4, 16]], [1, []], [7, []], [3, []], [4, []], [10, [10, 13, 2]], [8, [8]], [11, [11]], [2, []], [5, [5, 9, 25, 12, 17, 15]], [25, []], [13, []], [17, []], [18, [18, 14]], [19, []], [15, []], [16, []], [12, []], [14, []], [9, []], [22, [22]]]], [[[10, [13, 2]]], [[10, [10]]], [[8, [8]]], [[11, [11]]], [[20, [20]]], [[21, [21]], [5, [5]]], [[5, [12, 17, 15]]], [[5, [9, 25]]], [[18, [18, 14]]], [[22, [22]]], [[28, [28, 29]]], [[6, [6, 30]]], [[24, [24]]]]]",577.216,OK
test_data\data_demand_random\30\C201_3.dat,4,2,2,797.0,"[[[[0, [7, 27, 2, 5]], [21, [21, 22]], [22, []], [27, []], [30, [30, 25]], [25, []], [2, []], [7, []], [5, []]], [[0, [26, 23, 19, 3, 1, 16]], [3, []], [4, [4, 13]], [1, []], [11, [11, 18, 29]], [10, [10]], [24, [24, 14]], [20, [20]], [29, []], [6, [6, 15]], [28, [28, 17]], [26, []], [23, []], [18, []], [19, []], [14, []], [12, [12, 9]], [16, []], [15, []], [17, []], [13, []], [9, []], [8, [8]]]], [[[4, [4, 13]]], [[11, [11]]], [[11, [18, 29]]], [[10, [10]]], [[24, [24, 14]]], [[20, [20]]], [[21, [21, 22]]], [[6, [6, 15]]], [[28, [28, 17]]], [[30, [30, 25]]], [[12, [12, 9]]], [[8, [8]]]]]",835.6619037896907,"[[[[0, [16, 3, 1, 19, 23]], [1, []], [4, [4, 13]], [3, []], [11, [11]], [10, [10]], [23, []], [26, [26]], [28, [28, 15, 14]], [15, []], [19, []], [16, []], [14, []], [12, [12, 17]], [13, []], [17, []], [18, [18, 29]], [6, [6]], [29, []], [24, [24]], [20, [20]], [22, [22]]], [[0, [27, 5, 2, 7, 9]], [8, [8, 30]], [21, [21, 25]], [27, []], [30, []], [25, []], [9, []], [5, []], [2, []], [7, []]]], [[[4, [4, 13]]], [[11, [11]]], [[10, [10]]], [[26, [26]]], [[8, [8]]], [[28, [28, 15, 14]]], [[8, [30]], [12, [12, 17]]], [[21, [21, 25]]], [[18, [18, 29]]], [[6, [6]]], [[24, [24]]], [[20, [20]]], [[22, [22]]]]]",736.509,OK
test_data\data_demand_random\30\C201_3.dat,4,2,3,802.0,"[[[[0, [5, 7, 3, 27]], [5, []], [4, [4]], [3, []], [7, []], [25, [25, 30]], [30, []], [27, []], [20, [20]]], [[0, [16, 19, 23, 1]], [1, []], [2, [2, 29]], [11, [11]], [10, [10]], [23, []], [26, [26]], [28, [28, 18]], [29, []], [6, [15, 6]], [24, [24]], [22, [22]], [8, [8]], [9, [9, 12, 21]], [12, []], [14, [14, 13, 17]], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [21, []]]], [[[2, [2, 29]]], [[11, [11]]], [[4, [4]]], [[10, [10]]], [[26, [26]]], [[28, [28, 18]]], [[6, [15, 6]]], [[24, [24]]], [[22, [22]]], [[8, [8]]], [[9, [9, 12, 21]]], [[14, [14, 13, 17]]], [[25, [25, 30]]], [[20, [20]]]]]",862.0,"[[[[0, [1, 7, 27]], [5, [5, 30]], [2, [2]], [1, []], [7, []], [9, [9, 6]], [30, []], [6, []], [27, []]], [[0, [3, 4, 11, 23, 26, 19, 13]], [4, []], [3, []], [13, []], [11, []], [10, [10]], [23, []], [26, []], [28, [28, 29]], [29, []], [22, [22]], [21, [21]], [8, [8]], [25, [25, 17]], [17, [14, 18, 15]], [18, []], [19, []], [15, []], [14, []], [16, [16]], [12, [12]], [24, [24]], [20, [20]]]], [[[5, [5, 30]]], [[10, [10]]], [[28, [28, 29]]], [[22, [22]]], [[21, [21]], [2, [2]]], [[8, [8]]], [[9, [9, 6]]], [[25, [25, 17]]], [[17, [14, 18, 15]]], [[16, [16]]], [[12, [12]]], [[24, [24]]], [[20, [20]]]]]",999.992,OK
test_data\data_demand_random\30\C201_3.dat,4,2,4,789.0831891575846,"[[[[0, [23, 19, 1]], [2, [2, 29]], [1, []], [5, [5, 13]], [11, [11]], [10, [10]], [23, []], [26, [26]], [28, [28, 18]], [22, [22, 14]], [24, [24]], [29, []], [6, [6, 15]], [30, [30, 16]], [25, [25, 17]], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 9, 21]], [9, []], [21, []]], [[0, [7, 4, 3, 27]], [7, []], [3, []], [4, []], [8, [8]], [27, []], [20, [20]]]], [[[2, [2, 29]]], [[5, [5, 13]]], [[11, [11]]], [[10, [10]]], [[26, [26]]], [[28, [28, 18]]], [[22, [22, 14]]], [[24, [24]]], [[6, [6, 15]]], [[30, [30, 16]]], [[25, [25, 17]]], [[8, [8]]], [[20, [20]]], [[12, [12, 9, 21]]]]]",871.0,"[[[[0, [2, 5, 3, 1, 23, 19]], [5, []], [2, []], [3, []], [1, []], [4, [4, 13]], [10, [10]], [23, []], [26, [26]], [28, [28, 21, 17]], [6, [6, 15]], [20, [20]], [21, []], [13, []], [17, []], [18, [18, 14]], [19, []], [15, []], [16, [16]], [14, []], [12, [12]], [22, [22]]], [[0, [7, 24, 29, 27]], [11, [11]], [7, [25]], [9, [9, 30]], [25, []], [30, []], [24, []], [29, []], [27, []], [8, [8]]]], [[[11, [11]]], [[4, [4, 13]]], [[10, [10]]], [[26, [26]]], [[28, [28, 21, 17]]], [[6, [6, 15]]], [[20, [20]]], [[18, [18, 14]]], [[7, [25]]], [[16, [16]]], [[9, [9, 30]], [12, [12]]], [[8, [8]]], [[22, [22]]]]]",743.735,OK
test_data\data_demand_random\30\C201_3.dat,4,2,5,792.0,"[[[[0, [27, 8, 7, 2, 5]], [21, [21, 30]], [30, []], [27, []], [8, []], [5, []], [2, []], [7, []]], [[0, [26, 23, 13, 19, 16, 1, 3]], [1, []], [3, []], [4, [4]], [10, [10]], [11, [11]], [22, [22]], [20, [20]], [24, [24]], [29, [29]], [6, [6, 14]], [28, [28, 18]], [26, []], [23, []], [25, [25, 17]], [13, []], [17, []], [18, []], [19, []], [15, [15, 12, 9]], [16, []], [14, []], [12, []], [9, []]]], [[[4, [4]]], [[10, [10]]], [[11, [11]]], [[22, [22]]], [[20, [20]]], [[24, [24]]], [[29, [29]]], [[6, [6, 14]]], [[21, [21, 30]]], [[28, [28, 18]]], [[25, [25, 17]]], [[15, [15, 12, 9]]]]]",799.0,"[[[[0, [27, 10, 7, 2]], [27, []], [30, [30]], [21, [21]], [10, []], [7, []], [2, []]], [[0, [26, 23, 13, 19, 16, 1, 3]], [1, []], [3, []], [4, [4]], [5, [5]], [11, [11]], [22, [22]], [20, [20]], [24, [24, 14]], [29, [29]], [6, [6]], [28, [28, 18]], [26, []], [23, []], [25, [25, 12, 9, 17]], [13, []], [17, []], [18, []], [19, []], [15, [15]], [16, []], [14, []], [12, []], [9, []], [8, [8]]]], [[[4, [4]]], [[5, [5]]], [[11, [11]]], [[22, [22]]], [[20, [20]]], [[24, [24, 14]]], [[29, [29]]], [[6, [6]]], [[28, [28, 18]]], [[25, [12, 9]], [30, [30]]], [[25, [25, 17]]], [[21, [21]]], [[15, [15]]], [[8, [8]]]]]",774.904,OK
test_data\data_demand_random\30\C201_3.dat,4,3,1,794.0,"[[[[0, [22, 6, 28, 26, 27, 23, 29]], [22, []], [27, []], [6, []], [28, []], [26, []], [23, []], [30, [30, 24]], [29, []], [24, []]], [[0, [19, 18, 7, 1, 3, 14, 11]], [4, [4, 13]], [3, []], [7, []], [1, []], [2, [2, 17, 5]], [5, []], [10, [10]], [8, [8]], [11, []], [9, [9, 12, 15]], [12, []], [16, [16]], [14, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, [25, 21]], [21, []], [20, [20]]]], [[[4, [4, 13]]], [[2, [2]]], [[2, [17, 5]]], [[10, [10]]], [[8, [8]]], [[30, [30, 24]]], [[9, [9, 12, 15]]], [[16, [16]]], [[25, [25, 21]]], [[20, [20]]]]]",846.0,"[[[[0, [23, 19, 13, 3]], [4, [4]], [3, []], [11, [11]], [23, []], [26, [26, 22]], [28, [28]], [6, [6, 17]], [20, [20]], [22, []], [21, [21, 15]], [8, [8]], [10, [10]], [25, [25, 9]], [13, []], [15, []], [19, []], [18, [18, 29]], [17, []], [9, []], [30, [30, 24]], [29, []], [24, []]], [[0, [16, 27, 7, 1]], [5, [5]], [2, [2]], [7, []], [1, []], [12, [12, 14]], [14, []], [16, []], [27, []]]], [[[4, [4]]], [[11, [11]]], [[26, [26]]], [[26, [22]]], [[28, [28]]], [[5, [5]]], [[6, [6, 17]]], [[20, [20]]], [[21, [21, 15]], [2, [2]]], [[8, [8]]], [[10, [10]]], [[25, [25, 9]]], [[18, [18, 29]]], [[30, [30, 24]]], [[12, [12, 14]]]]]",1538.214,OK
test_data\data_demand_random\30\C201_3.dat,4,3,2,789.0831891575846,"[[[[0, [22, 27, 7, 5, 2]], [20, [20]], [22, []], [27, []], [30, [30, 21]], [21, []], [8, [8]], [5, []], [2, []], [7, []]], [[0, [16, 3, 26, 1, 23, 19]], [4, [4, 13]], [3, []], [1, []], [10, [10, 11, 18]], [23, []], [26, []], [28, [28, 29]], [6, [6, 15]], [29, [14, 24]], [24, []], [25, [25]], [13, []], [17, [17, 12, 9]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, []], [11, []]]], [[[4, [4, 13]]], [[10, [10]]], [[10, [18]]], [[10, [11]]], [[20, [20]]], [[28, [28, 29]]], [[6, [6, 15]]], [[29, [14, 24]]], [[25, [25]]], [[17, [17, 12, 9]]], [[30, [30, 21]]], [[8, [8]]]]]",854.0,"[[[[0, [27, 30, 8, 4, 3, 7, 11]], [22, [22]], [27, []], [30, []], [21, [21]], [8, []], [4, []], [3, []], [7, []], [11, []], [20, [20]]], [[0, [19, 23]], [2, [2, 13, 1]], [1, []], [10, [10]], [19, []], [18, [18, 29]], [26, [26]], [24, [24]], [29, []], [6, [6, 17]], [28, [28]], [23, []], [25, [25, 15, 12]], [9, [9, 16]], [13, []], [17, []], [15, []], [16, []], [14, [14, 5]], [12, []], [5, []]]], [[[2, [1]]], [[22, [22]]], [[2, [2, 13]]], [[10, [10]]], [[18, [18, 29]]], [[26, [26]]], [[24, [24]]], [[6, [6, 17]]], [[28, [28]]], [[21, [21]], [25, [12]]], [[25, [25, 15]]], [[9, [9, 16]]], [[20, [20]]], [[14, [14, 5]]]]]",1469.67,OK
