instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,4,120,3,1,423.0,"[[[[0, [18, 13, 23, 28, 19, 26, 17, 30, 14]], [8, [8, 25, 15, 12, 16]], [25, []], [13, []], [17, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []]], [[0, [22, 3, 4, 1, 5]], [5, []], [2, [2]], [1, []], [3, []], [4, []], [7, [7, 21, 9]], [10, [10]], [11, [11, 6, 27, 24]], [9, []], [21, []], [22, []], [27, []], [6, []], [29, [29, 20]], [24, []], [20, []]]], [[[2, [2]]], [[8, [8, 12]]], [[8, [25, 15, 16]]], [[7, [7, 21]]], [[7, [9]]], [[10, [10]]], [[11, [11]]], [[11, [6, 27, 24]]], [[29, [29]]], [[29, [20]]]]]",436.0,"[[[[0, [18, 14, 13, 23, 26, 28]], [21, [21, 16, 17, 20]], [9, [9, 12, 15, 24]], [13, []], [16, []], [14, []], [12, []], [15, []], [19, [19]], [17, []], [18, []], [23, []], [26, []], [28, []], [6, [6]], [24, []], [20, []]], [[0, [5, 10, 1, 7, 4, 30, 22]], [5, []], [2, [2]], [1, []], [7, []], [4, []], [3, [3]], [11, [11]], [10, []], [25, [25, 8]], [30, []], [29, [29, 27]], [27, []], [22, []], [8, []]]], [[[21, [21, 16]]], [[2, [2]]], [[21, [17, 20]]], [[9, [15, 24]]], [[9, [9, 12]]], [[3, [3]]], [[11, [11]]], [[19, [19]]], [[6, [6]], [25, [25, 8]]], [[29, [29]]], [[29, [27]]]]]",1.6,3.2,1.545455,3.454545,374.882,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,3,2,415.0,"[[[[0, [5, 1, 4, 23, 28, 22]], [5, []], [4, []], [3, [3, 7, 10]], [7, []], [1, []], [2, [2]], [11, [11, 26]], [10, []], [23, []], [26, []], [28, []], [27, [27, 20]], [22, []], [20, []]], [[0, [14, 16, 19, 17, 12, 9, 13, 30, 18, 15, 8, 24]], [21, [21, 25, 6]], [8, []], [9, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [30, []], [6, []], [29, [29]], [24, []]]], [[[21, [21, 25, 6]]], [[3, [3]]], [[3, [7, 10]]], [[2, [2]]], [[11, [11]]], [[11, [26]]], [[27, [27, 20]]], [[29, [29]]]]]",442.0,"[[[[0, [16, 14, 22, 18, 26, 28, 13, 30, 24, 12, 19]], [20, [20, 17, 27, 21, 15]], [24, []], [22, []], [27, []], [12, []], [16, []], [14, []], [15, []], [13, []], [17, []], [18, []], [19, []], [26, []], [28, []], [30, []], [21, []]], [[0, [11, 1, 5]], [29, [29]], [6, [6]], [23, [23]], [25, [25, 9]], [9, []], [11, []], [2, [2]], [1, []], [7, [7, 4]], [3, [3]], [4, []], [5, []], [10, [10]], [8, [8]]]], [[[29, [29]]], [[6, [6]]], [[20, [17]], [23, [23]]], [[20, [20, 27, 21, 15]]], [[25, [25, 9]]], [[2, [2]]], [[7, [7, 4]]], [[3, [3]]], [[10, [10]]], [[8, [8]]]]]",1.5,3.5,1.6,3.2,547.192,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,3,3,410.0,"[[[[0, [1, 5]], [2, [2]], [1, []], [7, [7, 4]], [3, [3]], [4, []], [5, []], [11, [11]], [10, [10, 24]], [8, [8, 21, 20]], [21, []], [20, []], [29, [29, 27, 6]], [6, []], [24, []], [27, []]], [[0, [14, 17, 19, 18, 16, 26, 28, 30, 12, 15, 22, 13, 23]], [22, []], [9, [9, 25]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [23, []], [26, []], [28, []], [30, []]]], [[[2, [2]]], [[7, [7, 4]]], [[9, [9, 25]]], [[3, [3]]], [[11, [11]]], [[10, [10, 24]]], [[8, [8, 21, 20]]], [[29, [29]]], [[29, [27, 6]]]]]",,None,1.666667,3.666667,,,537.449,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,3,4,410.0,"[[[[0, [28, 17, 16, 13, 22, 26, 23, 14, 30, 19, 18]], [22, []], [25, [25, 12, 15]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []]], [[0, [1, 5]], [5, []], [4, [4]], [3, [3, 10, 7]], [7, []], [1, []], [2, [2]], [9, [9, 20]], [11, [11, 6, 8, 27]], [10, []], [8, [24, 21]], [21, []], [27, []], [24, []], [29, [29]], [6, []], [20, []]]], [[[4, [4]]], [[3, [3]]], [[3, [10, 7]]], [[25, [25, 12, 15]]], [[2, [2]]], [[9, [9, 20]]], [[11, [11]]], [[11, [6, 8, 27]]], [[8, [24, 21]]], [[29, [29]]]]]",433.0,"[[[[0, [1, 30, 27, 13, 5, 22]], [24, [24, 7]], [22, []], [27, []], [30, []], [25, [25]], [17, [17, 4]], [13, []], [1, []], [7, []], [4, []], [3, [3]], [2, [2]], [5, []]], [[0, [14, 16, 18, 23, 26, 28]], [21, [21, 19]], [8, [8, 10]], [10, []], [11, [11]], [9, [9]], [12, [12, 15, 6]], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [20, [20]]]], [[[21, [21, 19]]], [[24, [24, 7]]], [[8, [8, 10]]], [[11, [11]]], [[9, [9]], [25, [25]]], [[12, [12, 15, 6]]], [[17, [17, 4]]], [[3, [3]]], [[29, [29]]], [[2, [2]]], [[20, [20]]]]]",1.7,3.5,1.636364,3.636364,390.284,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,3,5,404.0,"[[[[0, [23, 26, 30, 28, 19, 9, 22, 15, 17, 13, 18, 16, 14]], [21, [21, 12, 27]], [9, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]], [[0, [5, 4, 1]], [5, []], [4, []], [3, [3]], [7, [7, 24]], [1, []], [2, [2, 25, 6, 20]], [11, [11]], [8, [8, 10]], [10, []], [25, []], [6, []], [29, [29]], [24, []], [20, []]]], [[[21, [21, 12, 27]]], [[3, [3]]], [[7, [7, 24]]], [[2, [2]]], [[2, [25, 6, 20]]], [[11, [11]]], [[8, [8, 10]]], [[29, [29]]]]]",556.0,"[[[[0, [14, 26, 28, 18, 13, 16]], [9, [9, 12]], [11, [11]], [2, [2]], [12, []], [14, []], [16, []], [26, []], [28, []], [18, []], [17, [17, 25]], [13, []], [25, []], [10, [10, 20]], [8, [8]], [20, []]], [[0, [4, 1, 5, 7, 22, 30]], [5, []], [4, []], [3, [3]], [7, []], [1, []], [15, [15, 6, 21, 27]], [19, [19, 23]], [23, []], [6, []], [21, []], [22, []], [29, [29]], [27, []], [30, []], [24, [24]]]], [[[3, [3]]], [[9, [9, 12]]], [[11, [11]]], [[2, [2]]], [[15, [15, 6, 21, 27]]], [[19, [19, 23]]], [[29, [29]]], [[17, [17, 25]]], [[10, [10, 20]]], [[8, [8]], [24, [24]]]]]",1.75,3.75,1.8,3.9,368.191,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,1,1,374.74524290015296,"[[[[0, [26, 23]], [6, [6, 28, 21, 20]], [28, []], [26, []], [23, []], [25, [25, 27, 30]], [30, []], [29, [29]], [27, []], [24, [24, 22]], [22, []], [21, []], [20, []]], [[0, [1]], [5, [5, 2, 19, 4, 10, 11]], [4, [3]], [3, []], [7, [7, 18]], [1, []], [2, []], [9, [14, 15, 12, 16, 13, 9, 17, 8]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [11, []], [10, []], [8, []]]], [[[5, [2, 19, 4]]], [[5, [5, 10]]], [[5, [11]]], [[4, [3]]], [[6, [6, 28, 21, 20]]], [[7, [7, 18]]], [[9, [14, 15]]], [[9, [9, 17, 8]]], [[9, [12, 16, 13]]], [[25, [25, 27, 30]]], [[29, [29]]], [[24, [24, 22]]]]]",399.0689005266564,"[[[[0, [23, 26]], [29, [29]], [24, [24, 18]], [6, [6, 28]], [25, [21, 20, 17, 19, 30, 25, 27]], [17, []], [18, []], [19, []], [23, []], [26, []], [28, []], [30, []], [27, []], [21, []], [20, []]], [[0, [1]], [22, [22, 10, 16, 2, 13, 4]], [8, [8, 14, 11, 15, 7]], [10, []], [11, []], [9, [9, 12, 5, 3]], [12, []], [14, []], [16, []], [15, []], [13, []], [1, []], [7, []], [4, []], [3, []], [2, []], [5, []]]], [[[22, [16, 13]]], [[29, [29]], [22, [2]]], [[22, [22, 10, 4]]], [[24, [24, 18]]], [[8, [14, 15, 7]]], [[8, [8, 11]]], [[6, [6, 28]]], [[9, [9, 3]]], [[9, [12, 5]]], [[25, [20, 17, 19]]], [[25, [21, 30, 27]]], [[25, [25]]]]]",2.25,6.5,2.25,6.5,140.321,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,1,2,389.03999404456897,"[[[[0, [29, 16, 10, 19, 11]], [24, [24, 22]], [22, []], [27, [27, 6, 15, 18]], [6, []], [29, [14, 12, 9, 17, 8]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, []], [11, []], [10, []], [8, []]], [[0, [1, 23]], [5, [5, 4]], [2, [2, 26, 3, 13]], [3, []], [4, []], [7, [7]], [1, []], [13, []], [25, [25, 28, 21, 20]], [23, []], [26, []], [28, []], [30, [30]], [21, []], [20, []]]], [[[5, [5, 4]]], [[2, [26, 13]]], [[2, [2, 3]]], [[24, [24, 22]]], [[7, [7]]], [[27, [27, 6, 15, 18]]], [[29, [14]]], [[29, [17, 8]]], [[29, [12, 9]]], [[25, [25, 28, 21, 20]]], [[30, [30]]]]]",428.298221281347,"[[[[0, [13, 26]], [29, [29, 16, 23]], [24, [24, 28, 14, 18]], [6, [12, 6, 17, 19, 15, 30, 21]], [17, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [21, []]], [[0, [2]], [8, [8, 11, 4, 10]], [11, []], [9, [9, 25, 27, 20]], [10, [1, 3]], [4, []], [3, []], [7, [7, 5, 22]], [1, []], [2, []], [5, []], [25, []], [27, []], [22, []], [20, []]]], [[[29, [29, 16, 23]]], [[8, [10]], [24, [18]]], [[24, [24, 14]]], [[24, [28]]], [[8, [8, 11, 4]]], [[6, [6, 17, 19, 21]]], [[6, [12, 15, 30]]], [[9, [9, 25, 27, 20]]], [[10, [1, 3]]], [[7, [7, 22]]], [[7, [5]]]]]",2.090909,6.0,2.454545,6.727273,147.015,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,1,3,386.6619037896906,"[[[[0, [1]], [5, [5, 13]], [2, [2, 3]], [7, [7, 17, 4, 24]], [3, []], [4, []], [1, []], [17, []], [13, []], [25, [25, 29]], [30, [30]], [29, []], [27, [27, 22]], [24, []], [22, []], [21, [21, 20]], [20, []]], [[0, [18, 26, 10, 14, 23]], [8, [8, 11, 16]], [10, []], [11, []], [9, [9, 12, 15, 19, 28, 6]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []]]], [[[5, [13]]], [[5, [5]]], [[2, [2, 3]]], [[7, [7, 17, 4, 24]]], [[8, [8, 11, 16]]], [[9, [28, 6]]], [[9, [9, 12, 15, 19]]], [[25, [25, 29]]], [[30, [30]]], [[27, [27, 22]]], [[21, [21, 20]]]]]",438.0,"[[[[0, []], [2, [2, 11]], [11, []], [21, [21]], [27, [27, 22, 23]], [22, []], [9, [9, 25, 26, 28, 6, 24, 13]], [13, []], [25, []], [23, []], [26, []], [28, []], [6, []], [30, [30, 20]], [29, [29]], [24, []], [20, []]], [[0, [1]], [5, [5]], [10, [10, 4]], [8, [8, 17, 15, 14, 12, 16, 19, 18, 7, 3]], [17, []], [15, []], [14, []], [12, []], [16, []], [19, []], [18, []], [1, []], [7, []], [3, []], [4, []]]], [[[5, [5]]], [[2, [2, 11]]], [[10, [10, 4]]], [[8, [18, 7]]], [[21, [21]], [8, [14, 16]]], [[8, [8, 17, 15]]], [[8, [12, 19, 3]]], [[27, [27, 22, 23]]], [[9, [13]]], [[9, [28, 6, 24]]], [[9, [9, 25, 26]]], [[30, [30, 20]]], [[29, [29]]]]]",2.181818,6.0,2.230769,6.307692,132.822,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,1,4,379.74524290015296,"[[[[0, [13]], [5, [5, 2, 1, 10, 11, 16]], [4, [4, 3, 7]], [3, []], [7, []], [1, []], [2, []], [10, []], [11, []], [9, [9, 12, 14, 15, 27, 22, 25, 24, 20]], [12, []], [14, []], [16, []], [15, []], [13, []], [25, []], [27, []], [22, []], [24, []], [20, []]], [[0, [29, 23]], [6, [6, 28, 19, 18]], [29, []], [30, [30, 26, 17, 8, 21]], [28, []], [26, []], [23, []], [18, []], [19, []], [17, []], [8, []], [21, []]]], [[[5, [1, 11]]], [[5, [5, 10]]], [[5, [2, 16]]], [[4, [4, 3, 7]]], [[6, [28, 19]]], [[6, [6, 18]]], [[30, [17, 8, 21]]], [[30, [30, 26]]], [[9, [9, 14]]], [[9, [27, 22]]], [[9, [12, 15, 25, 24, 20]]]]]",,None,2.454545,6.909091,,,197.03,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,1,5,377.13274595042157,"[[[[0, [1]], [5, [5, 16, 13]], [4, [3, 19, 4]], [3, []], [7, [7, 15, 2]], [1, []], [2, [12, 14, 17, 18, 20]], [9, [9, 25, 27]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [27, []], [20, []]], [[0, [26, 23]], [6, [6, 28, 8]], [23, []], [26, []], [28, []], [30, [30, 10]], [29, [29, 11]], [24, [24, 21, 22]], [22, []], [21, []], [8, []], [11, []], [10, []]]], [[[5, [13]]], [[5, [5, 16]]], [[6, [6, 28, 8]]], [[4, [3, 19, 4]]], [[7, [7, 15, 2]]], [[2, [14, 17]]], [[2, [12, 18, 20]]], [[9, [9, 25, 27]]], [[30, [30, 10]]], [[29, [29, 11]]], [[24, [24, 21, 22]]]]]",,None,2.454545,7.090909,,,204.227,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,2,1,378.6619037896906,"[[[[0, [1]], [2, [3, 2]], [1, []], [7, [7, 28, 4]], [3, []], [4, []], [25, [25, 26, 23]], [23, []], [26, []], [28, []], [30, [30, 27, 24]], [27, []], [24, []], [20, [20, 22]], [22, []]], [[0, [13]], [5, [5, 16, 11, 29]], [21, [21, 10, 14, 19, 8]], [8, []], [10, []], [11, []], [9, [17, 12, 15, 9, 18, 6]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, []], [29, []]]], [[[5, [11, 29]]], [[5, [5, 16]]], [[2, [3, 2]]], [[7, [7, 28, 4]]], [[21, [14, 19]]], [[21, [21, 10, 8]]], [[9, [17, 18]]], [[9, [12, 15, 9, 6]]], [[25, [25, 26, 23]]], [[30, [30, 27, 24]]], [[20, [20, 22]]]]]",449.0,"[[[[0, [23, 26]], [5, [5, 3, 1, 4]], [7, [7, 2]], [4, []], [3, []], [1, []], [2, []], [25, [25, 28, 24]], [23, []], [26, []], [28, []], [30, [30, 27]], [24, []], [27, []], [22, [22]]], [[0, []], [29, [29, 11]], [20, [20, 10, 18]], [21, [21, 19, 13, 8, 14]], [11, []], [8, []], [10, []], [9, [17, 9, 12, 6, 16, 15]], [17, []], [18, []], [19, []], [15, []], [14, []], [16, []], [12, []], [13, []], [6, []]]], [[[29, [29, 11]]], [[5, [1]]], [[5, [3, 4]]], [[20, [20, 10, 18]], [5, [5]]], [[21, [19, 13]]], [[21, [21, 8, 14]]], [[7, [7, 2]]], [[9, [17, 9, 6, 15]]], [[9, [12, 16]]], [[25, [25, 28, 24]]], [[30, [30, 27]]], [[22, [22]]]]]",2.545455,7.0,2.333333,6.833333,373.587,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,2,2,374.6619037896906,"[[[[0, [13, 19]], [21, [21, 8, 14, 15, 17, 16, 24]], [8, []], [9, [9, 18, 6, 29, 12]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, []], [29, []], [24, []]], [[0, []], [5, [5, 2, 3, 11, 1, 26]], [2, []], [1, []], [7, [7, 4, 10, 23, 20]], [3, []], [4, []], [11, []], [10, [28]], [25, [25, 30, 27]], [23, []], [26, []], [28, []], [30, []], [27, []], [22, [22]], [20, []]]], [[[5, [3, 11]]], [[5, [2, 1]]], [[5, [5, 26]]], [[7, [7, 4, 10, 23, 20]]], [[21, [15, 17, 16, 24]]], [[21, [21, 8, 14]]], [[9, [18, 12]]], [[9, [9, 6, 29]]], [[10, [28]]], [[25, [25, 30, 27]]], [[22, [22]]]]]",377.13274595042157,"[[[[0, [13, 16]], [11, [11]], [8, [8, 15, 17, 6, 19, 14, 20]], [9, [9, 18, 12, 29, 24]], [13, []], [16, []], [14, []], [12, []], [15, []], [19, []], [18, []], [17, []], [6, []], [29, []], [24, []], [20, []]], [[0, [1, 23]], [5, [5, 2, 10, 3, 4]], [2, []], [1, []], [7, [7, 28, 21]], [3, []], [4, []], [10, []], [25, [25, 26]], [23, []], [26, []], [28, []], [30, [30, 27]], [27, []], [22, [22]], [21, []]]], [[[5, [3]], [11, [11]]], [[5, [2, 10, 4]]], [[5, [5]]], [[7, [7, 28, 21]]], [[8, [8, 14, 20]]], [[8, [15, 17, 6, 19]]], [[9, [18, 24]]], [[9, [9, 12, 29]]], [[25, [25, 26]]], [[30, [30, 27]]], [[22, [22]]]]]",2.545455,7.090909,2.363636,6.727273,367.248,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,2,3,372.13274595042157,"[[[[0, [1]], [5, [5, 2, 26]], [1, []], [7, [4, 23, 7, 3]], [4, []], [3, []], [2, []], [9, [9, 28]], [23, []], [26, []], [28, []], [27, [27, 20, 22]], [22, []], [20, []]], [[0, [13, 16, 11]], [24, [24, 10, 19]], [6, [6, 29]], [29, []], [30, [30, 25, 21, 15]], [25, [12, 8, 17, 14, 18]], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [11, []], [10, []], [8, []], [21, []]]], [[[24, [24, 10, 19]]], [[5, [5]]], [[5, [2, 26]]], [[7, [4, 23, 7, 3]]], [[6, [6, 29]]], [[30, [30, 25, 21, 15]]], [[25, [17, 14]]], [[25, [12, 8, 18]]], [[9, [9, 28]]], [[27, [27, 20, 22]]]]]",444.0,"[[[[0, [1]], [2, [2, 11, 4, 3, 23]], [1, []], [7, [7, 29]], [4, []], [3, []], [11, [26, 28, 6, 20, 17, 13, 21, 22]], [13, []], [17, []], [23, []], [26, []], [28, []], [6, []], [29, []], [24, [24]], [22, []], [21, []], [20, []]], [[0, []], [5, [5, 16]], [8, [8, 12, 10, 19, 18, 15]], [18, []], [19, []], [15, []], [30, [30, 25, 27, 9]], [27, []], [25, [14]], [16, []], [14, []], [12, []], [9, []], [10, []]]], [[[2, [4, 3, 23]]], [[5, [5, 16]]], [[2, [2, 11]]], [[7, [7, 29]]], [[8, [12, 18, 15]]], [[8, [8, 10, 19]]], [[11, [26, 13]]], [[11, [28, 6, 20, 21]]], [[11, [17, 22]]], [[30, [27, 9]], [24, [24]]], [[30, [30, 25]]], [[25, [14]]]]]",2.6,7.1,2.416667,6.833333,405.707,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,2,4,388.6619037896906,"[[[[0, [1]], [2, [2, 11]], [1, []], [7, [7, 3, 16]], [3, []], [4, [4, 10, 13]], [10, []], [25, [25, 15, 14, 9, 8, 12]], [13, []], [15, []], [16, []], [12, []], [14, []], [9, []], [11, []], [8, []]], [[0, [23]], [5, [5, 26, 29, 19]], [21, [21, 24, 28, 18, 17]], [24, []], [29, []], [6, [6, 30, 27, 20]], [28, []], [26, []], [23, []], [19, []], [18, []], [17, []], [30, []], [27, []], [22, [22]], [20, []]]], [[[5, [29, 19]]], [[5, [5, 26]]], [[2, [2, 11]]], [[21, [28, 17]]], [[21, [21, 24, 18]]], [[7, [7, 3, 16]]], [[4, [4, 10, 13]]], [[6, [6, 30, 27, 20]]], [[22, [22]]], [[25, [15, 14]]], [[25, [25, 9, 8, 12]]]]]",420.6619037896906,"[[[[0, [1]], [2, [2, 4, 3, 10]], [4, []], [7, [7, 11]], [3, []], [1, []], [10, []], [11, []], [9, [9, 30, 27, 18, 13]], [13, []], [18, []], [25, [25, 22]], [30, []], [27, []], [22, []]], [[0, []], [5, [16, 5, 23, 29]], [21, [21, 15, 14]], [20, [20, 24, 28, 8, 6, 26]], [24, []], [29, []], [6, [17, 19, 12]], [28, []], [26, []], [23, []], [17, []], [19, []], [15, []], [16, []], [14, []], [12, []], [8, []]]], [[[2, [3]], [5, [29]]], [[5, [16, 5, 23]]], [[2, [2, 4, 10]]], [[21, [21, 15, 14]]], [[20, [28, 8]]], [[20, [20, 24, 6, 26]]], [[7, [7, 11]]], [[9, [13]]], [[6, [17, 19, 12]]], [[9, [30, 27]]], [[9, [9, 18]]], [[25, [25, 22]]]]]",2.545455,7.363636,2.416667,6.833333,327.891,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,2,5,377.6476151587624,"[[[[0, [13, 16, 26, 23]], [10, [10, 11]], [11, []], [8, [8, 14, 19, 15, 28]], [9, [12, 18, 9, 17, 27, 24]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [27, []], [24, []]], [[0, [1]], [5, [5, 2, 3]], [2, []], [1, []], [7, [7, 4, 29]], [3, []], [4, []], [25, [25, 6, 21, 22]], [30, [30]], [29, []], [6, []], [22, []], [21, []], [20, [20]]]], [[[10, [10, 11]]], [[5, [2, 3]]], [[5, [5]]], [[8, [14, 19]]], [[8, [8, 15, 28]]], [[7, [7, 4, 29]]], [[9, [9, 17, 27]]], [[9, [12, 18, 24]]], [[25, [25, 6, 21, 22]]], [[30, [30]]], [[20, [20]]]]]",428.6619037896906,"[[[[0, []], [5, [5, 1, 16]], [2, [2, 3]], [3, []], [4, [12, 4, 30, 29, 6, 17]], [7, [15, 7, 14]], [1, []], [12, []], [14, []], [16, []], [15, []], [17, []], [30, []], [29, []], [6, []]], [[0, []], [11, [11]], [8, [8, 21, 10, 24, 23, 18, 19]], [21, []], [10, []], [25, [25, 13]], [13, []], [9, [9, 28, 26, 22]], [18, []], [19, []], [23, []], [26, []], [28, []], [27, [27, 20]], [24, []], [22, []], [20, []]]], [[[5, [1]], [11, [11]]], [[5, [5, 16]]], [[2, [2, 3]]], [[8, [18, 19]]], [[8, [8, 21, 10, 24, 23]]], [[4, [4, 29, 17]]], [[4, [12, 30, 6]]], [[7, [15, 7, 14]]], [[25, [25, 13]]], [[9, [9, 22]]], [[9, [28, 26]]], [[27, [27, 20]]]]]",2.272727,6.454545,2.5,7.166667,478.744,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,3,1,371.6619037896906,"[[[[0, [11, 16, 13]], [5, [5, 19]], [8, [8, 18, 15, 17, 6, 24, 20]], [11, []], [9, [9, 12, 14, 29, 27]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [27, []], [29, []], [6, []], [24, []], [20, []]], [[0, [1]], [2, [2, 3, 26]], [1, []], [7, [7, 4, 10, 23]], [3, []], [4, []], [10, []], [25, [25, 28, 21]], [23, []], [26, []], [28, []], [30, [30]], [21, []], [22, [22]]]], [[[2, [26]]], [[5, [5, 19]]], [[2, [2, 3]]], [[7, [7, 4, 10, 23]]], [[8, [18, 15, 24]]], [[8, [8, 17, 6, 20]]], [[9, [14, 27]]], [[9, [9, 12, 29]]], [[25, [25, 28, 21]]], [[30, [30]]], [[22, [22]]]]]",435.16552506059645,"[[[[0, [26, 29]], [22, [22, 13, 14, 12, 16, 15, 19, 18, 23, 28, 20, 24]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, [6, 30, 27]], [29, []], [30, []], [27, []], [24, []], [20, []]], [[0, [1]], [5, [5]], [21, [21]], [9, [9, 17, 4]], [25, [25, 3, 10]], [17, []], [1, []], [4, []], [3, []], [7, [7, 2]], [2, []], [10, []], [11, [11]], [8, [8]]]], [[[22, [13, 16, 23]]], [[5, [5]]], [[22, [22, 19]]], [[22, [28, 24]]], [[22, [14, 15, 20]], [21, [21]]], [[22, [12, 18]]], [[9, [9, 17, 4]]], [[6, [6, 30, 27]]], [[25, [25, 3, 10]]], [[7, [7, 2]]], [[11, [11]]], [[8, [8]]]]]",2.363636,6.454545,2.25,6.25,971.729,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,3,2,378.13274595042157,"[[[[0, [1]], [5, [5, 23]], [2, [2, 3]], [1, []], [7, [7, 4, 10, 26]], [3, []], [4, []], [10, []], [25, [25, 28, 21]], [23, []], [26, []], [28, []], [30, [30]], [21, []], [22, [22]]], [[0, [13, 16]], [11, [11, 19]], [8, [8, 18, 20]], [9, [9, 17, 12, 27, 14, 15, 24]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, [6, 29]], [29, []], [27, []], [24, []], [20, []]]], [[[5, [5, 23]]], [[11, [11, 19]]], [[2, [2, 3]]], [[8, [8, 18, 20]]], [[7, [7, 4, 10, 26]]], [[9, [14, 15, 24]]], [[9, [9, 17, 12, 27]]], [[6, [29]]], [[6, [6]]], [[25, [25, 28, 21]]], [[30, [30]]], [[22, [22]]]]]",411.6619037896906,"[[[[0, [1, 16]], [11, [11]], [8, [8, 21, 14]], [21, []], [9, [9, 12, 3]], [14, []], [16, []], [12, []], [1, []], [4, [4, 7, 2]], [3, []], [7, []], [2, []]], [[0, [26, 13, 23]], [5, [5, 19, 29]], [10, [10, 18]], [25, [25, 15, 17, 28, 24]], [13, []], [15, []], [17, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, [6, 22, 30, 27, 20]], [29, []], [30, []], [27, []], [22, []], [24, []], [20, []]]], [[[5, [29]], [11, [11]]], [[5, [5, 19]]], [[10, [10, 18]]], [[8, [8, 21, 14]]], [[25, [28, 24]]], [[25, [25, 15, 17]]], [[9, [9, 12, 3]]], [[6, [30, 27, 20]]], [[4, [4, 7, 2]]], [[6, [6, 22]]]]]",2.25,6.25,2.5,7.1,696.65,OK
test_data\data_demand_random\30\C201_0.5.dat,8,60,3,3,371.0,"[[[[0, [1]], [5, [5, 2, 26, 23, 11, 4, 3, 10]], [4, []], [3, []], [7, [7, 28]], [1, []], [2, []], [11, []], [10, []], [8, [8, 25, 30, 27, 22]], [25, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]], [[0, [13, 16, 19]], [21, [21, 18, 15, 14, 24, 20]], [9, [9, 12, 17, 6]], [12, []], [14, []], [16, []], [19, []], [15, []], [13, []], [17, []], [18, []], [6, []], [29, [29]], [24, []], [20, []]]], [[[5, [2, 3]]], [[5, [5, 4, 10]]], [[5, [26, 23, 11]]], [[7, [7, 28]]], [[21, [14, 24, 20]]], [[21, [21, 18, 15]]], [[9, [9, 12, 17, 6]]], [[29, [29]]], [[8, [30, 27]]], [[8, [8, 25, 22]]]]]",,None,2.6,7.2,,,399.449,OK
